reported_sector,suggested_sector,reported_desc,suggested_desc,reported_rate,suggested_rate,rate_delta,direction,n_establishments,total_employees,total_annual_loss,avg_loss_per_establishment
22,72,Utilities,Accommodation/Food,3.14,2.47,-0.67,OVERPAYING,1,198,98937.83,98937.83
21,33,Mining/Oil & Gas,Metal/Electronics Mfg,4.72,4.87,0.15,UNDERPAYING,11,877,98109.99,8919.09
81,72,Other Services,Accommodation/Food,1.73,2.47,0.74,UNDERPAYING,7,177,97684.88,13954.98
21,42,Mining/Oil & Gas,Wholesale Trade,4.72,4.56,-0.16,OVERPAYING,3,784,93553.15,31184.38
53,55,Real Estate,Management of Companies,0.54,0.21,-0.33,OVERPAYING,1,327,80479.28,80479.28
21,22,Mining/Oil & Gas,Utilities,4.72,3.14,-1.58,OVERPAYING,2,63,74236.93,37118.47
51,22,Information/Tech,Utilities,0.42,3.14,2.72,UNDERPAYING,2,34,68971.58,34485.79
11,49,Agriculture/Nurseries,Warehousing,5.91,7.18,1.27,UNDERPAYING,1,70,66301.62,66301.62
92,32,Public Administration,Plastics/Chemical Mfg,0.36,5.24,4.88,UNDERPAYING,1,18,65511.07,65511.07
92,22,Public Administration,Utilities,0.36,3.14,2.78,UNDERPAYING,1,31,64273.04,64273.04
44,21,Retail/Grocery,Mining/Oil & Gas,3.99,4.72,0.73,UNDERPAYING,3,116,63154.34,21051.45
21,71,Mining/Oil & Gas,Arts/Entertainment,4.72,2.89,-1.83,OVERPAYING,1,43,58687.00,58687.00
56,45,Admin/Waste Services,Retail/General Merch,3.82,2.74,-1.08,OVERPAYING,1,68,54771.55,54771.55
11,21,Agriculture/Nurseries,Mining/Oil & Gas,5.91,4.72,-1.19,OVERPAYING,1,61,54137.62,54137.62
71,22,Arts/Entertainment,Utilities,2.89,3.14,0.25,UNDERPAYING,2,284,52951.80,26475.90
45,71,Retail/General Merch,Arts/Entertainment,2.74,2.89,0.15,UNDERPAYING,14,408,45642.96,3260.21
71,45,Arts/Entertainment,Retail/General Merch,2.89,2.74,-0.15,OVERPAYING,2,398,44524.26,22262.13
21,53,Mining/Oil & Gas,Real Estate,4.72,0.54,-4.18,OVERPAYING,1,14,43644.22,43644.22
51,53,Information/Tech,Real Estate,0.42,0.54,0.12,UNDERPAYING,1,366,32755.54,32755.54
71,21,Arts/Entertainment,Mining/Oil & Gas,2.89,4.72,1.83,UNDERPAYING,1,24,32755.54,32755.54
52,33,Finance/Insurance,Metal/Electronics Mfg,0.21,4.87,4.66,UNDERPAYING,1,6,20852.57,20852.57
61,72,Education,Accommodation/Food,0.64,2.47,1.83,UNDERPAYING,1,15,20472.21,20472.21
81,45,Other Services,Retail/General Merch,1.73,2.74,1.01,UNDERPAYING,1,18,13558.64,13558.64
51,61,Information/Tech,Education,0.42,0.64,0.22,UNDERPAYING,2,68,11157.17,5578.58
53,49,Real Estate,Warehousing,0.54,7.18,6.64,UNDERPAYING,1,2,9904.22,9904.22
52,61,Finance/Insurance,Education,0.21,0.64,0.43,UNDERPAYING,1,22,7055.27,7055.27
99,54,Unknown,Professional Services,,0.21,,SAME,1,47,0.00,0.00
56,56,Admin/Waste Services,Admin/Waste Services,3.82,3.82,0.00,SAME,261,54189,0.00,0.00
33,33,Metal/Electronics Mfg,Metal/Electronics Mfg,4.87,4.87,0.00,SAME,456,333883,0.00,0.00
35,53,Unknown,Real Estate,,0.54,,SAME,7,18,0.00,0.00
35,33,Unknown,Metal/Electronics Mfg,,4.87,,SAME,1,25,0.00,0.00
35,56,Unknown,Admin/Waste Services,,3.82,,SAME,1,45,0.00,0.00
36,32,Unknown,Plastics/Chemical Mfg,,5.24,,SAME,1,520,0.00,0.00
41,44,Unknown,Retail/Grocery,,3.99,,SAME,1,35,0.00,0.00
41,56,Unknown,Admin/Waste Services,,3.82,,SAME,1,35,0.00,0.00
35,22,Unknown,Utilities,,3.14,,SAME,2,64,0.00,0.00
55,54,Management of Companies,Professional Services,0.21,0.21,0.00,SAME,2,2151,0.00,0.00
42,42,Wholesale Trade,Wholesale Trade,4.56,4.56,0.00,SAME,57,3116,0.00,0.00
55,52,Management of Companies,Finance/Insurance,0.21,0.21,0.00,SAME,43,4787,0.00,0.00
43,49,Unknown,Warehousing,,7.18,,SAME,1,48,0.00,0.00
54,55,Professional Services,Management of Companies,0.21,0.21,0.00,SAME,1,1409,0.00,0.00
54,54,Professional Services,Professional Services,0.21,0.21,0.00,SAME,89,28755,0.00,0.00
45,45,Retail/General Merch,Retail/General Merch,2.74,2.74,0.00,SAME,74,32123,0.00,0.00
