reported_sector,suggested_sector,reported_desc,suggested_desc,reported_rate,suggested_rate,rate_delta,direction,n_establishments,total_employees,total_annual_loss,avg_loss_per_establishment
72,31,Accommodation/Food,Manufacturing/Forging,2.47,6.31,3.84,UNDERPAYING,43,26451,75752278.27,1761680.89
61,56,Education,Admin/Waste Services,0.64,3.82,3.18,UNDERPAYING,35,31301,74234828.84,2120995.11
44,45,Retail/Grocery,Retail/General Merch,3.99,2.74,-1.25,OVERPAYING,238,79420,74039295.00,311089.47
44,53,Retail/Grocery,Real Estate,3.99,0.54,-3.45,OVERPAYING,83,27738,71370151.38,859881.34
62,48,Healthcare/Physicians,Transportation/Trucking,0.94,7.88,6.94,UNDERPAYING,74,13635,70572742.02,953685.70
62,45,Healthcare/Physicians,Retail/General Merch,0.94,2.74,1.80,UNDERPAYING,11,51966,69761237.04,6341930.64
42,23,Wholesale Trade,Construction/Carpentry,4.56,11.61,7.05,UNDERPAYING,171,12951,68094933.39,398215.98
56,52,Admin/Waste Services,Finance/Insurance,3.82,0.21,-3.61,OVERPAYING,27,23964,64519187.83,2389599.55
31,62,Manufacturing/Forging,Healthcare/Physicians,6.31,0.94,-5.37,OVERPAYING,60,15852,63486403.99,1058106.73
42,56,Wholesale Trade,Admin/Waste Services,4.56,3.82,-0.74,OVERPAYING,370,113618,62704865.26,169472.61
33,81,Metal/Electronics Mfg,Other Services,4.87,1.73,-3.14,OVERPAYING,75,26287,61559212.04,820789.49
45,92,Retail/General Merch,Public Administration,2.74,0.36,-2.38,OVERPAYING,226,33289,59088108.16,261451.81
55,23,Management of Companies,Construction/Carpentry,0.21,11.61,11.40,UNDERPAYING,2,6871,58418066.52,29209033.26
49,92,Warehousing,Public Administration,7.18,0.36,-6.82,OVERPAYING,49,11225,57094346.10,1165190.74
61,62,Education,Healthcare/Physicians,0.64,0.94,0.30,UNDERPAYING,108,253818,56789239.32,525826.29
31,51,Manufacturing/Forging,Information/Tech,6.31,0.42,-5.89,OVERPAYING,69,12787,56170247.69,814061.56
32,92,Plastics/Chemical Mfg,Public Administration,5.24,0.36,-4.88,OVERPAYING,39,15403,56059280.11,1437417.44
56,54,Admin/Waste Services,Professional Services,3.82,0.21,-3.61,OVERPAYING,77,20803,56008707.41,727385.81
45,44,Retail/General Merch,Retail/Grocery,2.74,3.99,1.25,UNDERPAYING,807,58453,54492809.25,67525.17
49,44,Warehousing,Retail/Grocery,7.18,3.99,-3.19,OVERPAYING,63,22780,54195943.56,860253.07
54,33,Professional Services,Metal/Electronics Mfg,0.21,4.87,4.66,UNDERPAYING,61,15299,53170572.97,871648.74
23,22,Construction/Carpentry,Utilities,11.61,3.14,-8.47,OVERPAYING,45,8410,53125347.66,1180563.28
55,33,Management of Companies,Metal/Electronics Mfg,0.21,4.87,4.66,UNDERPAYING,6,15278,53097588.98,8849598.16
56,23,Admin/Waste Services,Construction/Carpentry,3.82,11.61,7.79,UNDERPAYING,20,8877,51573434.81,2578671.74
51,56,Information/Tech,Admin/Waste Services,0.42,3.82,3.40,UNDERPAYING,28,20082,50922329.04,1818654.61
33,44,Metal/Electronics Mfg,Retail/Grocery,4.87,3.99,-0.88,OVERPAYING,61,77357,50769708.53,832290.30
48,54,Transportation/Trucking,Professional Services,7.88,0.21,-7.67,OVERPAYING,48,8784,50246992.22,1046812.34
23,45,Construction/Carpentry,Retail/General Merch,11.61,2.74,-8.87,OVERPAYING,13,7253,47980379.24,3690798.40
45,56,Retail/General Merch,Admin/Waste Services,2.74,3.82,1.08,UNDERPAYING,1599,59198,47681857.87,29819.80
48,52,Transportation/Trucking,Finance/Insurance,7.88,0.21,-7.67,OVERPAYING,49,8301,47484094.09,969063.14
55,44,Management of Companies,Retail/Grocery,0.21,3.99,3.78,UNDERPAYING,5,16464,46414057.54,9282811.51
23,32,Construction/Carpentry,Plastics/Chemical Mfg,11.61,5.24,-6.37,OVERPAYING,41,9745,46296019.77,1129171.21
52,56,Finance/Insurance,Admin/Waste Services,0.21,3.82,3.61,UNDERPAYING,6,16483,44377807.25,7396301.21
61,23,Education,Construction/Carpentry,0.64,11.61,10.97,UNDERPAYING,14,5230,42788857.98,3056347.00
32,56,Plastics/Chemical Mfg,Admin/Waste Services,5.24,3.82,-1.42,OVERPAYING,136,39299,41619055.76,306022.47
42,81,Wholesale Trade,Other Services,4.56,1.73,-2.83,OVERPAYING,151,19432,41013451.25,271612.26
62,54,Healthcare/Physicians,Professional Services,0.94,0.21,-0.73,OVERPAYING,96,74552,40588643.57,422798.37
32,52,Plastics/Chemical Mfg,Finance/Insurance,5.24,0.21,-5.03,OVERPAYING,20,10635,39895862.49,1994793.12
11,51,Agriculture/Nurseries,Information/Tech,5.91,0.42,-5.49,OVERPAYING,32,9705,39736559.61,1241767.49
11,92,Agriculture/Nurseries,Public Administration,5.91,0.36,-5.55,OVERPAYING,36,9415,38970473.85,1082513.16
31,23,Manufacturing/Forging,Construction/Carpentry,6.31,11.61,5.30,UNDERPAYING,31,9662,38191373.88,1231979.80
44,62,Retail/Grocery,Healthcare/Physicians,3.99,0.94,-3.05,OVERPAYING,218,16750,38101057.50,174775.49
62,92,Healthcare/Physicians,Public Administration,0.94,0.36,-0.58,OVERPAYING,224,85748,37091497.87,165587.04
53,23,Real Estate,Construction/Carpentry,0.54,11.61,11.07,UNDERPAYING,37,4451,36747482.71,993175.21
44,54,Retail/Grocery,Professional Services,3.99,0.21,-3.78,OVERPAYING,89,12926,36439996.82,409438.17
33,48,Metal/Electronics Mfg,Transportation/Trucking,4.87,7.88,3.01,UNDERPAYING,33,16146,36245477.27,1098347.80
56,61,Admin/Waste Services,Education,3.82,0.64,-3.18,OVERPAYING,128,14953,35463192.73,277056.19
31,56,Manufacturing/Forging,Admin/Waste Services,6.31,3.82,-2.49,OVERPAYING,57,18727,34776825.53,610119.75
81,33,Other Services,Metal/Electronics Mfg,1.73,4.87,3.14,UNDERPAYING,100,14715,34459763.58,344597.64
54,32,Professional Services,Plastics/Chemical Mfg,0.21,5.24,5.03,UNDERPAYING,39,8975,33668581.65,863296.97
23,72,Construction/Carpentry,Accommodation/Food,11.61,2.47,-9.14,OVERPAYING,12,4926,33578630.71,2798219.23
92,23,Public Administration,Construction/Carpentry,0.36,11.61,11.25,UNDERPAYING,25,3860,32386365.00,1295454.60
49,33,Warehousing,Metal/Electronics Mfg,7.18,4.87,-2.31,OVERPAYING,46,18507,31883822.59,693126.58
55,56,Management of Companies,Admin/Waste Services,0.21,3.82,3.61,UNDERPAYING,10,11727,31573047.73,3157304.77
72,33,Accommodation/Food,Metal/Electronics Mfg,2.47,4.87,2.40,UNDERPAYING,32,17550,31413096.00,981659.25
56,48,Admin/Waste Services,Transportation/Trucking,3.82,7.88,4.06,UNDERPAYING,39,10295,31172724.66,799300.63
31,55,Manufacturing/Forging,Management of Companies,6.31,0.21,-6.10,OVERPAYING,10,6774,30817500.12,3081750.01
44,81,Retail/Grocery,Other Services,3.99,1.73,-2.26,OVERPAYING,193,17982,30308804.86,157040.44
21,51,Mining/Oil & Gas,Information/Tech,4.72,0.42,-4.30,OVERPAYING,23,8617,27634201.98,1201487.04
61,48,Education,Transportation/Trucking,0.64,7.88,7.24,UNDERPAYING,16,5086,27462324.91,1716395.31
31,92,Manufacturing/Forging,Public Administration,6.31,0.36,-5.95,OVERPAYING,28,6094,27042185.94,965792.35
62,52,Healthcare/Physicians,Finance/Insurance,0.94,0.21,-0.73,OVERPAYING,79,49476,26936416.58,340967.30
32,81,Plastics/Chemical Mfg,Other Services,5.24,1.73,-3.51,OVERPAYING,39,10223,26761340.03,686188.21
48,45,Transportation/Trucking,Retail/General Merch,7.88,2.74,-5.14,OVERPAYING,44,6958,26672880.70,606201.83
48,33,Transportation/Trucking,Metal/Electronics Mfg,7.88,4.87,-3.01,OVERPAYING,88,11732,26336674.06,299280.39
32,11,Plastics/Chemical Mfg,Agriculture/Nurseries,5.24,5.91,0.67,UNDERPAYING,18,51635,25801286.61,1433404.81
22,23,Utilities,Construction/Carpentry,3.14,11.61,8.47,UNDERPAYING,39,4073,25728839.60,659713.84
54,23,Professional Services,Construction/Carpentry,0.21,11.61,11.40,UNDERPAYING,13,2964,25200283.68,1938483.36
72,92,Accommodation/Food,Public Administration,2.47,0.36,-2.11,OVERPAYING,168,15969,25129425.22,149579.91
44,23,Retail/Grocery,Construction/Carpentry,3.99,11.61,7.62,UNDERPAYING,35,4327,24590323.69,702580.68
72,61,Accommodation/Food,Education,2.47,0.64,-1.83,OVERPAYING,241,17947,24494316.86,101636.17
21,92,Mining/Oil & Gas,Public Administration,4.72,0.36,-4.36,OVERPAYING,13,7531,24488462.33,1883727.87
49,53,Warehousing,Real Estate,7.18,0.54,-6.64,OVERPAYING,16,4860,24067264.32,1504204.02
23,21,Construction/Carpentry,Mining/Oil & Gas,11.61,4.72,-6.89,OVERPAYING,13,4631,23796680.62,1830513.89
31,52,Manufacturing/Forging,Finance/Insurance,6.31,0.21,-6.10,OVERPAYING,21,5197,23643127.86,1125863.23
81,23,Other Services,Construction/Carpentry,1.73,11.61,9.88,UNDERPAYING,31,3195,23542370.28,759431.30
32,61,Plastics/Chemical Mfg,Education,5.24,0.64,-4.60,OVERPAYING,12,6777,23249718.36,1937476.53
55,21,Management of Companies,Mining/Oil & Gas,0.21,4.72,4.51,UNDERPAYING,2,6857,23063917.21,11531958.60
23,48,Construction/Carpentry,Transportation/Trucking,11.61,7.88,-3.73,OVERPAYING,51,8264,22989076.18,450766.20
42,55,Wholesale Trade,Management of Companies,4.56,0.21,-4.35,OVERPAYING,49,6976,22631748.48,461872.42
48,44,Transportation/Trucking,Retail/Grocery,7.88,3.99,-3.89,OVERPAYING,52,7563,21941488.21,421951.70
33,22,Metal/Electronics Mfg,Utilities,4.87,3.14,-1.73,OVERPAYING,41,16275,20998558.35,512159.96
55,22,Management of Companies,Utilities,0.21,3.14,2.93,UNDERPAYING,6,9591,20958195.65,3493032.61
