ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
833253005,"Heat Transfer Sales; Hoffman Hydronics, LLC",11,11,77,-1.23,-1.3,"2022, 2023, 2024","GA, NC, SC, TN, VA"
860683885,PHOENIX LOGISTICS LLC,11,11,71,-0.4,-0.4,"2023, 2024","CA, FL, GA, IA, MS, NC, NV, OK, TX, WI"
271076486,"""Veolia Municipal Water ConOps, Inc.""",10,10,106,-0.5,-0.5,"2022, 2023","CT, MA, MI, MS, NJ, PA, WI"
30374134,"Empire Truck Sales; Empire Truck Sales, LLC",10,10,466,-1.14,-1.2,"2022, 2023","AL, FL, LA, MS"
351299716,Tire Rack,10,10,481,-1.3,-1.3,"2023, 2024","CA, CO, CT, DE, GA, IN, LA, MN, NV"
382559656,Marycrest Manor; Sanctuary at Bellbrook; Sanctuary at Mercy Village-Fort Gratiot; Sanctuary at St. Paul's-THSC; Skilled Nursing Facility-Long Term-THSC; Trinity Health Senior Communities,10,10,1282,-5.64,-6.2,"2022, 2023, 2024","CT, IN, MI, NC"
510083365,"WL Gore & Associates, Inc.",10,10,1869,-0.7,-1.0,"2022, 2023","AZ, DE, MD"
540409030,"Epes Transport System, LLC",10,10,366,-0.2,-0.2,"2022, 2023","GA, LA, MS, NC, SC, TN, TX, VA"
752491201,Bimbo Bakeries USA Inc,10,10,630,-3.2,-3.2,"2023, 2024","AR, AZ, CO, CT, NJ, OH, PA, TX"
810888278,Goodwill Industries of Central Oklahoma,10,10,234,-1.1,-1.1,"2022, 2023",OK
042490849,Clean Harbors,9,9,241,-1.02,-2.1,"2022, 2023, 2024","MA, MI"
201999579,C&C North America Inc.; CC North America Inc.,9,9,427,-1.16,-3.2,"2021, 2022, 2023, 2024","CA, FL, MA, TX, VA"
237345990,"Janus Youth Programs, Inc; Janus Youth Programs,Inc",9,9,97,-0.79,-1.5,"2022, 2023, 2024","OR, WA"
340939177,AVI Foodsystems Inc; AVI Foodsystems Inc.,9,9,367,-0.22,-1.1,"2021, 2022, 2023, 2024","AL, IN, KY, NY, OH, PA, SC, WV"
381961328,"Aci Parts Plus Warehousing, Inc",9,9,384,-0.5,-0.5,"2022, 2023","MI, OH"
390935768,Blains,9,9,1022,-2.46,-2.6,"2022, 2023, 2024","MI, WI"
410948415,Fastenal Company,9,9,786,-1.66,-3.5,"2021, 2022, 2023, 2024","CT, FL, IL, NC, NE, TX, UT"
61434797,"HOP Energy, LLC",9,9,468,-0.6,-0.6,"2022, 2023","CT, MA, NY, PA"
840338660,Paperchef; Trinidad Benham Corp; Trinidad Benham Corporation,9,9,738,-0.76,-3.0,"2021, 2022, 2023","CA, CO, GA, ID, ND, TN, TX"
150543657,UPSTATE CEREBRAL PALSY INC.; Upstate Cerebral Palsy,8,8,1370,-1.41,-1.6,"2021, 2022",NY
340526850,The Sherwin-Williams Company,8,8,527,-1.15,-2.4,"2022, 2023, 2024","CA, IL, MD, MN, NC, OR, PA, SC"
391380265,Alliant Energy,8,8,423,-0.2,-0.2,"2021, 2022","IA, WI"
522208632,Sodexo  Inc.; Sodexo Inc,8,8,88,-0.55,-1.5,"2021, 2022, 2023, 2024","CA, CO, FL, IL, WA"
621546470,"Capital City Leasing, Inc.",8,8,55,-1.6,-1.6,"2021, 2023","AL, IN, MI, OH, TN, TX, VA"
926001185,State of Alaska,8,8,183,-1.86,-2.8,"2022, 2023",AK
951801944,Behr Paint Company; Behr Process,8,8,511,-2.68,-3.2,"2022, 2023, 2024","CA, CO, FL, GA, IL, PA, TX"
203237014,"NG Burlington NJ; Rogers Premier Enterprises; Rogers Premier Enterprises, LLC",7,7,91,-3.1,-3.1,"2022, 2023","GA, KS, LA, NC, NJ, PA, TX"
310345740,Kroger Columbus KMA,7,7,1531,-1.9,-1.9,"2022, 2023",OH
380900860,Kroger Michigan KMA,7,7,711,-1.0,-1.0,"2022, 2023",MI
381918885,KUKA Systems N.A. LLC; KUKA Systems North America LLC,7,7,1581,-0.69,-1.8,"2022, 2023",MI
411956721,"002 C.H. Robinson Company, Inc.; 022 Prime Distribution Services, Inc.; C.H. Robinson Company, Inc.",7,7,570,-3.3,-3.3,"2021, 2023","CA, FL, GA, IL, PA"
560992165,Dollar Tree,7,7,169,-0.3,-0.3,"2021, 2022",NY
611572941,DUNCANSVILLE OPS LLC; ERIE OPS LLC; JOHNSTOWN OPS LLC; TITUSVILLE OPS LLC; WASHINGTON OPS LLC; WELL NPSL TENANT LLC,7,7,351,-1.4,-1.4,"2022, 2023","IL, IN, PA"
811240597,"Buy Sod, Inc",7,7,215,-1.2,-1.2,"2022, 2023","GA, NC, SC, TN"
811432131,Hospital Housekeeping Systems,7,7,221,-0.47,-0.9,"2021, 2022","CO, LA, MI, SC, TX"
861295043,Advantage Solutions,7,7,435,-2.7,-2.7,"2021, 2022","FL, GA, IL, NY, OH, PA, TX"
912197729,Tesla,7,7,1348,-1.29,-3.7,"2021, 2022, 2023, 2024","CA, CO, TN, TX"
112404503,"Alps Alpine North America, Inc",6,6,557,-1.6,-1.6,"2023, 2024","CA, MI, OH, TX, WA"
200329186,Kellogg Company,6,6,523,-3.7,-3.7,"2022, 2023","AR, CO, MN, NC, OH, PA"
274538887,Foundation Building Materials,6,6,118,-0.3,-0.3,"2022, 2023","FL, MA, MN, NJ, UT"
320454370,Kindred Healthcare CORNERSTONE HOSP BROKEN ARROW; Kindred Healthcare CORNERSTONE HOSP MUSKOGEE; Kindred Healthcare CORNERSTONE HOSP OF CONROE; Kindred Healthcare CORNERSTONE HOSP-LAKE CHARLES; Kindred,6,6,705,-1.0,-1.0,"2023, 2024","LA, OK, TX"
341725500,"Florence 2; Millwood, Inc.",6,6,167,-2.03,-2.8,"2023, 2024","NJ, OH, SC"
362041256,"WestRock CP, LLC; Westrock CP, LLC",6,6,415,-0.2,-0.7,"2021, 2022, 2023, 2024","CA, FL, GA, NV"
362403711,Blains,6,6,597,-2.6,-2.6,"2022, 2023",IL
383223296,Levy Environmental Services Company; Memphis Mill Service Company,6,6,294,-0.5,-0.5,"2022, 2023","IN, OH, SC, TN, WA"
416005890,St. Louis County,6,6,1137,-1.77,-2.5,"2022, 2023",MN
451874001,EDPO LLC; edpo llc,6,6,168,-0.53,-0.6,"2022, 2023, 2024","CA, NY, PA"
520782497,Federal Realty Investment Trust; Federal Realty OP LP,6,6,300,-0.3,-0.3,"2022, 2023","CA, MA, MD, PA, VA"
730400345,ConocoPhillips,6,6,1060,-0.3,-0.3,"2023, 2024","ND, NM, TX"
752565237,"JF Filtration, Inc.",6,6,97,-0.85,-0.9,"2021, 2022, 2023",TX
760719837,Floor & Decor,6,6,467,-2.8,-2.8,"2021, 2022","CA, GA, MA, TX"
20274267,Hypertherm Inc.,5,5,221,-0.7,-0.7,"2022, 2023","NH, NY"
263858587,"Premier Warehousing Ventures; Premier Warehousing Ventures, LLC",5,5,104,-3.1,-3.1,"2022, 2023","IN, MD, OH, OR, TX"
270187394,FCA,5,5,17544,-0.76,-2.5,"2021, 2022, 2023","IN, MI"
330777131,Advantage Solutions; Advantage Solutions US IL CHICAGO - 1756 WEST LAKE STREET; Advantage Solutions US UT WEST JORDAN  4328 WEST 8480 SOUTH; Advantage Solutions US WI BROOKFIELD - 3225 GATEWAY ROAD,5,5,75,-2.4,-2.7,"2021, 2022, 2023, 2024","IL, OH, TX, UT, WI"
350430700,KABELIN HARDWARE CO,5,5,107,-0.3,-0.3,"2022, 2024",IN
351092610,Hancock Health; Hancock Regional Hospital,5,5,8010,-1.52,-1.8,"2023, 2024",IN
363480584,NAZDAR,5,5,33,-0.1,-0.1,"2022, 2023","CA, FL, GA, IL, OH"
364391789,"Feldco - South Bend; Feldco Factory Direct, LLC; Feldco Home Renewal",5,5,214,-0.2,-0.2,"2023, 2024","IL, IN, WI"
381745063,"Cleary Developments; Cleary Developments, Inc; Cleary Developments, Inc.",5,5,82,-0.2,-0.2,"2022, 2023","MI, NC"
382046626,Kloeckner Metals Corporation AFI; Kloeckner Metals Corporation APA; Kloeckner Metals Corporation DFW; Kloeckner Metals Corporation LMS; Kloeckner Metals Corporation TUM,5,5,357,-0.42,-0.6,"2022, 2024","AZ, MS, TN, TX, WA"
382552259,"Oakley Industries Sub Assembly Division, Inc.",5,5,233,-2.56,-2.7,"2021, 2022, 2023","IL, MI, OH"
42197449,"May Institute, Inc.",5,5,314,-1.3,-1.3,"2022, 2023",MA
541940110,RENTOKIL NORTH AMERICA,5,5,231,-0.2,-0.2,"2023, 2024","CA, FL, MA, VA"
560991920,Dollar Tree,5,5,115,-0.3,-0.3,"2021, 2022",MI
562339119,Imperial Supplies,5,5,671,-0.7,-0.7,"2023, 2024","NC, NV, PA, WI"
570851059,Opterra Solutions Inc.,5,5,90,-0.4,-0.4,"2022, 2023, 2024","GA, NC, SC, TX"
590564454,Ro-Mac Lumber & Supply Inc,5,5,494,-0.3,-0.3,"2022, 2023",FL
680168977,Maass Corporation SPC,5,5,892,-2.7,-2.7,"2022, 2023",CA
760117314,Grace Management,5,5,252,-3.64,-5.0,"2022, 2023, 2024","AL, MI, MN, OK, TN"
822577178,Appalachian Regional Healthcare,5,5,38,-1.4,-1.8,"2023, 2024",KY
861279851,Vista Care Illinois LLC,5,5,46,-1.9,-1.9,"2022, 2023",IL
901025756,TowerPros LLC,5,5,70,-0.6,-0.6,"2023, 2024","IL, IN, NJ, PA"
952758280,Fluor ATLS; Fluor Infrastructure,5,5,151,-0.24,-0.7,"2021, 2022, 2023, 2024","AR, GA, NC"
250730780,"PPG Industries, Inc.",4,4,525,-0.82,-1.4,"2022, 2023","NC, OH, PA"
263297560,"Change Academy at Lake of the Ozarks; Change Academy at Lake of the Ozarks, LLC",4,4,166,-1.6,-1.6,"2022, 2023","CA, PA, TN, UT"
300697518,Suddath,4,4,279,-2.0,-2.0,"2023, 2024",FL
311678530,Kroger Texas LP Houston KMA,4,4,747,-1.9,-1.9,"2022, 2023",TX
320625534,S & B Engineers and Constructors; S & B Infrastructure,4,4,1612,-0.1,-0.1,"2022, 2023","GA, TX"
340714585,The Cleveland Clinic Foundation,4,4,822,-1.6,-2.2,"2022, 2023, 2024",OH
350895832,Norton King's Daughters' Health,4,4,153,-1.95,-2.6,"2021, 2022",IN
351463465,A-Lert Construction Services,4,4,207,-0.7,-0.7,"2023, 2024","GA, IA"
351791590,Prime Distribution Services Inc.,4,4,512,-3.3,-3.3,"2021, 2023","CA, IN, TX"
352039591,Elmer Buchta Trucking LLC,4,4,156,-0.1,-0.1,"2023, 2024",IN
362167910,The Salvation Army an Illinois Corp,4,4,107,-0.45,-0.6,"2021, 2022, 2023, 2024","MI, MO"
362373693,Blains,4,4,333,-2.6,-2.6,"2022, 2023",IL
363261413,Allina Health,4,4,301,-4.03,-10.4,"2022, 2023, 2024",MN
363556097,BASF Geismar; CNH Grand Island; GE Appliances; Mobis,4,4,114,-0.2,-0.2,"2022, 2023","GA, KY, LA, NE"
370991960,O'Brien Steel Service Co.,4,4,162,-0.7,-1.1,"2022, 2023",IL
381253012,Edw C Levy Co; Edw. C. Levy Co.,4,4,256,-0.5,-0.5,"2022, 2023","IN, MI, OH"
390935769,Blains,4,4,531,-2.6,-2.6,"2022, 2023","MI, WI"
391018885,Blains,4,4,469,-2.6,-2.6,"2022, 2023",WI
391142569,Blains,4,4,345,-2.6,-2.6,"2022, 2023",IA
454876417,Marathon Petroleum Logistics Services,4,4,261,-1.48,-3.2,"2022, 2023","KY, LA, OH"
480196590,Dillon Stores,4,4,968,-1.9,-1.9,"2022, 2023",KS
561373359,Dollar Tree,4,4,92,-0.3,-0.3,"2021, 2022",LA
571088158,Intertape Polymer Group,4,4,491,-0.55,-1.0,"2023, 2024","CO, FL, IL, OH"
582392285,"LOCKHEED MARTIN LOGISTIC SERVICES, INC.; Lockheed Martin Corporation",4,4,368,-1.55,-2.1,"2021, 2022, 2023, 2024","AZ, CA, SC, VT"
611437265,Tangent Materials,4,4,388,-0.75,-0.8,"2022, 2023","IL, IN"
660615815,"SUPERMERCADOS MAXIMO INC; SUPERMERCADOS MAXIMO, INC.; Supermercados Maximo Inc",4,4,27,-3.7,-3.7,"2022, 2023",PR
752822913,"Greg W Cox Inc; Greg W. Cox, Inc.",4,4,97,-1.7,-1.7,"2023, 2024","OK, TX"
820682657,"SELECT GENETICS, LLC",4,4,178,-1.12,-1.4,"2022, 2023","MN, MO, NC"
860701324,"Open Loop Energy; Open Loop Energy, Inc.",4,4,168,-0.1,-0.1,"2022, 2023","AZ, NM, NV"
873949310,"PVS Sackett-Waconia, Inc.",4,4,175,-0.8,-0.8,"2022, 2023","MD, MN, NC"
943137786,San Francisco Department of Public Health,4,4,127,-1.8,-2.8,"2022, 2023",CA
951055798,Northrop Grumman Systems Corporation,4,4,6228,-0.57,-1.1,"2021, 2022, 2023, 2024","CA, FL, ND"
952128775,"PDQ Enterprises, Inc; PDQ Enterprises, Inc. dba PDQ Rentals",4,4,254,-1.2,-1.2,"2023, 2024",CA
363734669,TruGreen,4,3,108,-0.18,-0.3,"2021, 2022, 2023","IN, OH, SC"
160812661,Sodexo Inc,3,3,152,-0.87,-1.4,"2021, 2022, 2023, 2024","NC, NJ"
203529371,Stella-Jones Corporation,3,3,205,-1.33,-1.9,"2021, 2022","PA, TX, WA"
232003056,Access Services,3,3,308,-2.2,-2.2,"2023, 2024",PA
232588479,Iron Mountain,3,3,181,-0.57,-0.6,"2021, 2022, 2024","MI, NY, PR"
233005575,IKEA,3,3,578,-0.1,-0.1,"2022, 2023","TX, VA, WI"
237219294,"St. Josephs Health Center Properties; St. Joseph’s Health Center Properties, Inc.",3,3,85,-2.5,-2.9,"2022, 2023, 2024",NY
240836974,InterMetro Industries Corp,3,3,342,-3.17,-4.1,"2022, 2023","PA, TN"
244538887,Foundation Building Materials,3,3,58,-0.4,-0.4,"2021, 2022","MA, MN, UT"
251579001,"Hitachi Rail STS; Hitachi Rail STS (Oakland, CA)",3,3,773,-3.13,-3.3,"2022, 2023","CA, MA, PA"
251614595,Your Building Centers; Your Building Centers Inc.,3,3,128,-0.4,-0.4,"2021, 2022",PA
264528524,Green Rabbit Braintree - 4011; Green Rabbit Visalia - 4013; Green Rabbit Whitestown - 4012,3,3,295,-2.3,-2.3,"2023, 2024","CA, IN, MA"
270745738,Wheel Pros; Wheel Pros LLC,3,3,240,-1.4,-2.0,"2021, 2022, 2023","CA, CO, SC"
271348772,"Virtua Medical Group, PA",3,3,66,-1.3,-1.3,"2022, 2023",NJ
273899821,"St. Josephs Medical, PC",3,3,137,-2.77,-2.9,"2022, 2023",NY
310787957,Gardner Inc; Gardner Inc.,3,3,306,-0.6,-0.6,"2022, 2023","MA, NC, OH"
330853316,Community Eldercare of San Diego,3,3,321,-9.7,-9.7,"2022, 2023",CA
340451060,"Parker Hannifin - Hydraulic Pump and Power Systems; Parker Hannifin, Devens Facility; Parker Hannifin, Glendale Facility",3,3,461,-0.63,-1.0,"2021, 2022, 2023","AZ, MA, MN"
341025556,OCP Contractors Inc.; OCP Contractors of Cleveland; OCP Contractors of Toldedo,3,3,404,-0.3,-0.3,"2022, 2023",OH
350672570,CenterPoint Energy,3,3,154,-0.2,-0.2,"2021, 2022",IN
350827455,FRANKLIN ELECTRIC,3,3,210,-0.2,-0.2,"2023, 2024","IN, WI"
351493826,Telamon Corporation,3,3,378,-0.9,-1.5,"2021, 2022, 2023, 2024","IL, IN, OH"
351905078,Simon,3,3,911,-1.3,-1.3,"2022, 2023","IN, NJ, NY"
362435165,Blains,3,3,304,-2.6,-2.6,"2022, 2023",IL
363506930,Quantix Liquid Transportation Inc.,3,3,142,-0.1,-0.1,"2021, 2022","IL, OH, TX"
364031900,Ball FloraPlant; PanAmerican Seed Company,3,3,142,-0.9,-0.9,"2022, 2023",CA
383067354,FANUC America Corporation,3,3,281,-0.4,-0.4,"2023, 2024","IL, MI"
383266325,Koops,3,3,352,-0.9,-0.9,"2022, 2023","MI, SC"
391994754,"Mi-Tech Services, Inc.",3,3,94,-1.5,-1.5,"2022, 2023","MN, WI"
410855460,City of Eden Prairie,3,3,37,-0.2,-0.2,"2022, 2023",MN
410991680,Fairview Health Services,3,3,187,-2.8,-6.0,"2021, 2022",MN
42277512,"MKS Instruments, Inc.",3,3,662,-0.67,-1.0,"2022, 2023",MA
452653391,"Verbal Beginnings, LLC",3,3,536,-0.4,-0.4,"2022, 2023",MD
461806293,"H2A COMPLETE  II, Inc.; H2A COMPLETE II, Inc",3,3,518,-0.63,-0.7,"2021, 2022",MS
462568903,AEGIS TREATMENT CENTERS,3,3,18,-1.17,-1.8,"2022, 2023",CA
465455228,Titan Machinery Heartland Ag Systems,3,3,64,-1.5,-1.5,"2021, 2023","MO, MT, NE"
522117007,Sodexo Inc,3,3,53,-1.4,-2.3,"2021, 2022",TX
560494395,Hickory Springs Manufacturing Company,3,3,291,-0.9,-1.1,"2022, 2023","GA, NC, OK"
560751714,Old Dominion Freight Line Inc,3,3,1240,-0.2,-0.2,"2021, 2022, 2023","CA, NC, TX"
561390087,Harris Teeter,3,3,2356,-0.3,-0.3,"2021, 2022","NC, VA"
566001520,County of Wayne,3,3,54,-0.73,-2.0,"2023, 2024",NC
570248420,Sonoco,3,3,214,-0.37,-0.5,"2021, 2022, 2023, 2024","GA, TN, WI"
580254510,GPC; NAPA; NAPA Auto Parts,3,3,210,-0.23,-0.5,"2021, 2022, 2023","CA, MI, OK"
710516310,"Fairway Lawns, LLC",3,3,121,-0.7,-0.7,"2023, 2024",TX
770050618,"Zanker Road Resource Management, LLC; Zanker Road Resource Management, LLC d/b/a  GreenWaste Z-Best Composting Facility; Zanker Road Resource Management, LLC d/b/a GreenWaste Florin Perkins Resource R",3,3,324,-1.1,-1.3,"2023, 2024",CA
810860843,"2MC Employee Management; 2MC Employee Management, LLC",3,3,46,-0.5,-0.5,"2021, 2023","AR, OH"
813622947,Waymo,3,3,57,-1.8,-1.8,"2021, 2022","AZ, CA, TX"
832725625,US Pack Services LLC,3,3,33,-6.07,-6.6,"2021, 2022, 2023, 2024","CT, IN, MD"
844075525,"United TN Holdings, Inc",3,3,363,-1.8,-1.8,"2022, 2023","MO, TN"
860278038,"VisionQuest National, Ltd; VisionQuest National, Ltd.",3,3,84,-1.1,-1.1,"2023, 2024","DE, PA, TX"
870544734,England Logistics,3,3,99,-0.8,-0.8,"2022, 2023","GA, MI, OR"
910470860,Weyerhaeuser,3,3,348,-0.8,-1.0,"2021, 2023, 2024","MT, NC, OR"
910873449,"Northern Lights, Inc.",3,3,83,-0.3,-0.3,"2023, 2024","FL, MA, WA"
911295550,Core-Mark Corporate - 7011; Core-Mark US Corp - 8100; Eby-Brown Indianapolis,3,3,972,-2.3,-3.2,"2022, 2023, 2024","IL, IN, TX"
920262996,US LBM Holdings LLC,3,3,75,-0.83,-1.9,"2023, 2024","AR, MO"
920288333,US LBM Holdings LLC,3,3,87,-0.67,-1.0,"2023, 2024",TX
951456805,Ralphs Grocery Company,3,3,282,-1.6,-1.9,"2022, 2023",CA
953223133,Inline Distributing; Inline Distributing Co.,3,3,93,-1.2,-1.2,"2022, 2023","CA, NJ"
956000735,CITY OF LA RECREATION AND PARKS,3,3,39,-2.27,-3.2,"2021, 2022",CA
376000770,City of Effingham; ILLINOIS MUNICIPAL LEAGUE RISK MANAGEMENT ASSOC.,3,2,88,-1.77,-2.7,"2022, 2023, 2024",IL
