ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
421308004,AYM INC,2,2,333,-0.7,-0.7,"2022, 2023","IA, TN"
426004428,City of Council Bluffs,2,2,75,-2.95,-3.4,"2022, 2023",IA
42655386,Bose Corporation,2,2,362,-0.15,-0.2,"2022, 2023",MA
42672383,Home Care Specialists Inc,2,2,67,-0.2,-0.2,"2022, 2023","MA, NH"
42704683,"Lahey Clinic Inc; Lahey Clinic, Inc",2,2,48,-1.0,-1.0,"2021, 2022",MA
431236557,Preferred Family Healthcare,2,2,59,-0.7,-1.0,"2021, 2022, 2023","KS, MO"
431821151,"PFS Blends; Pro Food Systems, Inc.",2,2,207,-0.65,-0.8,"2022, 2023, 2024",MO
432093158,"Classic Rock Fabrication, LLC",2,2,32,-0.9,-0.9,"2023, 2024","NJ, PA"
43430664,Irving Oil Terminals Inc.,2,2,22,-1.4,-1.4,"2021, 2022","ME, NH"
43775706,Connecticut Transportation Solutions,2,2,74,-0.2,-0.2,"2022, 2023",CT
450414000,"D&M Industries, Inc.",2,2,35,-0.8,-0.8,"2022, 2023",WI
450460074,Prairie Holding Company,2,2,81,-0.3,-0.3,"2022, 2023",ND
464650184,"ALL TILE HOLDINGS LLC; ALL TILE HOLDINGS, LLC",2,2,209,-0.6,-0.6,"2022, 2023","IL, IN"
470536075,"Mid-Nebraska Individual Services, Inc.",2,2,38,-0.7,-0.7,"2023, 2024",NE
471683389,"Loudon County Trucking, LLC",2,2,154,-0.6,-0.6,"2021, 2022",TN
474401150,"HS Express, LLC",2,2,81,-0.6,-0.6,"2021, 2022","IL, OH"
50533464,Wholesale Interiors,2,2,81,-0.5,-0.5,"2022, 2023",IL
510123924,Smith & Nephew Inc.,2,2,435,-0.35,-0.5,"2021, 2023","MA, TX"
520795508,APPALACHIAN REGIONAL HEALTHCARE; WHITESBURG ARH CLINIC,2,2,70,-2.7,-2.7,"2022, 2023",KY
521603828,Martin Marietta Materials Inc.,2,2,198,-0.8,-0.8,"2022, 2023","MD, MI"
522399959,"OSI GROUP LLC; OSI GROUP, LLC",2,2,284,-2.45,-2.5,"2023, 2024",IL
540387200,Southern States Cooperative Inc.,2,2,47,-0.95,-1.6,"2022, 2023","MD, NC"
541138147,American Woodmark Corp; Timberlake Cabinetry,2,2,134,-0.6,-0.6,"2023, 2024","NC, VA"
561120343,Dollar Tree,2,2,42,-0.3,-0.3,"2021, 2022",GA
561744955,Dollar Tree,2,2,40,-0.3,-0.3,"2021, 2022",VA
561768228,LB&B Associates Inc.,2,2,134,-2.0,-3.8,"2022, 2023","OH, VA"
562002553,Elanco Animal Health,2,2,525,-1.1,-1.1,"2023, 2024",IN
562256592,Compass Group NA,2,2,58,-0.1,-0.1,"2022, 2023","IN, MI"
570347524,"M. B. Kahn Construction Co. Inc.; M. B. Kahn Construction Co., Inc.",2,2,4,-0.1,-0.1,"2021, 2022, 2023",SC
580218533,Delta Air Lines Inc.,2,2,2013,-5.8,-5.8,"2022, 2023","GA, MN"
581960019,AGCO Corporation Corporate Office; AgRevolution,2,2,807,-2.25,-2.4,"2021, 2022, 2023","GA, IN"
582480149,United Parcel Service Inc,2,2,431,-4.8,-5.7,"2023, 2024","IL, NJ"
590747035,Ryder System,2,2,39,-1.3,-1.3,"2022, 2023, 2024","CT, NJ"
591031608,"Dewar Nurseries, Inc",2,2,228,-0.4,-0.4,"2023, 2024",FL
591506958,"Ryder System; Ryder System, Inc.",2,2,248,-1.0,-1.8,"2022, 2023, 2024","OH, TX"
61056158,Altium Packaging,2,2,141,-0.5,-0.5,"2022, 2023","CA, NC"
610600439,ECL Ashland Office; ELC Manchester,2,2,14,-2.6,-2.6,"2021, 2022",KY
61533762,"Plastic Forming Company, Inc.",2,2,61,-0.2,-0.2,"2022, 2023","CT, OH"
630944591,Polymer Industries LLC,2,2,228,-0.1,-0.1,"2021, 2022",AL
631099646,NaphCare US Inc,2,2,23,-1.5,-1.5,"2023, 2024",NV
631221433,"Specialty Foundry Products, Inc.; Specialty Foundry Products, inc.",2,2,29,-0.2,-0.2,"2023, 2024","AL, NC"
731451277,"LMI Aerospace, Inc.",2,2,199,-2.0,-2.0,"2021, 2022",OK
742958277,Baylor Scott & White Health; Baylor Scott and White Health,2,2,750,-2.25,-2.7,"2022, 2023, 2024",TX
750865842,Brookshire Grocery Company,2,2,672,-2.5,-2.5,"2023, 2024","OK, TX"
752702388,Texas Health Resources,2,2,3855,-2.7,-2.7,"2021, 2022",TX
760457926,Shell Exploration and Production Company,2,2,855,-0.2,-0.2,"2022, 2023",LA
760686861,WM,2,2,105,-2.2,-3.1,"2022, 2023","IL, SC"
812972833,"A La Carte Foods Properties, LLC.",2,2,118,-0.7,-0.9,"2022, 2023",LA
825501415,"McDonald Plastic Molding, Inc",2,2,97,-0.5,-0.5,"2022, 2023",WI
830587437,"DMT Trucking; DMT Trucking, LLC",2,2,162,-0.6,-0.6,"2021, 2022","FL, OK"
840629503,Foodservice Northland Cheese - 1036; OLM Food Systems Sioux Falls - 4040,2,2,389,-0.7,-1.0,"2023, 2024","MN, SD"
841975890,Cresco Labs; Cresco Labs / Sunnyside Leicester,2,2,32,-0.6,-0.7,"2022, 2023",MA
853721777,Mountain Manufacturing Coda Coffee Arizona - 4009; Mountain Manufacturing Coda Coffee Denver - 4008,2,2,79,-1.2,-1.2,"2023, 2024","AZ, CO"
861492361,Mountain Manufacturing Great Western Alabama - 4023; Mountain Manufacturing Great Western Illinois - 4024,2,2,76,-1.4,-2.3,"2023, 2024","AL, IL"
866000266,City of Tucson,2,2,334,-0.9,-1.4,"2022, 2023",AZ
874327519,"US Brick Holdings, LLC",2,2,77,-0.7,-0.7,"2023, 2024","IN, TN"
880263103,"Rhodes International, Inc.",2,2,235,-0.7,-0.7,"2022, 2023","UT, WI"
880351165,James Hardie Building Products,2,2,706,-2.0,-2.0,"2022, 2023","CA, IL"
886000022,Southern Nevada Adult Mental Health Services,2,2,18,-1.05,-1.9,"2023, 2024",NV
